headline,time
U.K. Consumer Sentiment Edges Up Again Despite Global Turbulence,18 hours ago
The Fog of Trade War Is Causing Confusion About Price Increases,"June 14, 2025"
American Consumer Outlook Brightens in June,"June 13, 2025"
China’s ‘Cash-for-Clunkers’ Underlines Need for Structural Reform,"June 13, 2025"
"U.K. Retail Sales Slowed in May, Report Says","June 10, 2025"
Economists Explain Why Trump’s Tariffs Haven’t Sparked Inflation Yet,"June 11, 2025"
Trump Says Fed Is Making ‘Mistake’ by Not Lowering Interest Rates,"May 29, 2025"
"WSJ Retail Reporter: How Walmart’s Price Hikes Affect Shoppers, Competitors","May 15, 2025"
White House Says Amazon Tariff Pricing Would Be ‘Hostile and Political’,"April 29, 2025"
"Can Buffett Bets Like Coke, Food Brands Recession-Proof Your Portfolio?","April 27, 2025"
New Real-Estate Math: Half a Million More Sellers Than Buyers,"June 14, 2025"
Young Graduates Are Facing an Employment Crisis,"June 16, 2025"
Trump Struggles to Press Deportations Without Damaging the Economy,"June 16, 2025"
The Path to Record Deficits,"June 18, 2025"
Why the Fed Isn’t Cutting Rates Despite Cool Inflation,"June 17, 2025"
American Consumers Are Still Gloomy on the Economy,"May 30, 2025"
"To Gen Z, Everything Is a Recession Indicator","May 21, 2025"
Consumer Sentiment Darkens Further With Inflation Worries Rising,"May 16, 2025"
Walmart’s Price Hikes Open Door to Increases From ‘Everybody Else’,"May 15, 2025"
My Friends and I Are Rethinking Our Spending Because of Economic Anxiety,"May 11, 2025"
Record Beef Prices Poised to Hit Consumers This Summer,"May 9, 2025"
Americans Are Downbeat on the Economy. They Keep Spending Anyway.,"April 25, 2025"
American Consumers Serve Up Bleak Outlook on Economy,"April 25, 2025"
U.K. Retailers Post Surprise Rise in Sales Ahead of Tariff Turmoil,"April 25, 2025"
U.K. Consumers’ Mood Darkens Under Tariff Clouds,"April 24, 2025"
Credit-Card Companies Brace for a Downturn,"April 22, 2025"
Eurozone Consumers’ Mood Darkens Under Tariff Clouds,"April 22, 2025"
The ‘Finfluencers’ Trying to Make It Big During the Market Turmoil,"April 19, 2025"
That New Charge on Your Bill? Call It a ‘This Tariff Isn’t Our Fault’ Fee,"April 12, 2025"
Young Women Are Starting to Recession-Proof Their Lives,"April 12, 2025"
‘From Anxious to Petrified’: Consumer Sentiment Plunges Further,"April 11, 2025"
"Producer Prices Fell in March as Energy, Food Costs Declined","April 11, 2025"
U.K. Shopper Traffic Drops in March on Late Easter,"April 11, 2025"
"Inflation Eased in March, but Tariffs Threaten to Stoke Price Pressures","April 10, 2025"
Buy Now or Save Up? How Consumers Are Weighing Economic Mayhem,"April 10, 2025"
Egg Prices Creep to New Record — But There Are Signs of Relief,"April 10, 2025"
The Complicated Relationship Between Consumer Sentiment and Stocks,"April 5, 2025"
Here’s the iPhone. Here’s the iPhone With Tariffs.,"April 5, 2025"
"Americans Rush to Buy TVs, Soy Sauce, Lululemon Workout Gear","April 3, 2025"
Cars Were Already Unaffordable Before Tariffs,"April 3, 2025"
"U.K. Shop Price Deflation Lost Pace in March, Report Says","April 1, 2025"
Americans Feel Bad About the Economy. Whether They Act on It Is What Really Matters.,"March 28, 2025"
Consumers’ Mood Sours in March With Gloomier Economic Outlook,"March 28, 2025"
Europe’s Industrial Outlook Buoyed by Defense Drive,"March 28, 2025"
